Name,Tlat,Tlon,Alat,Alon,champion
Stanford,37.4274745,-122.169719,39.0997265,-94.5785667,1
Washington St.,46.7337724,-117.1497607,39.0997265,-94.5785667,0
Wisconsin,42.73085395,-90.49514463,39.768403,-86.158068,0
Wisconsin,42.73085395,-90.49514463,39.0997265,-94.5785667,1
Kansas,38.9534918,-95.2630888,29.9510658,-90.0715323,1
Kansas,38.9534918,-95.2630888,29.4241219,-98.4936282,1
Kansas,38.9534918,-95.2630888,29.9510658,-90.0715323,0
Kansas,38.9534918,-95.2630888,39.768403,-86.158068,0
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,1
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,0
Kansas,38.9534918,-95.2630888,47.6062095,-122.3320708,1
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,0
Kansas,38.9534918,-95.2630888,39.0997265,-94.5785667,0
Kansas,38.9534918,-95.2630888,29.9510658,-90.071532,0
Indiana,41.70456775,-86.23822026,33.7489954,-84.3879824,0
Indiana,41.70456775,-86.23822026,29.9510658,-90.0715323,1
Indiana,41.70456775,-86.23822026,39.9525839,-75.1652215,1
Indiana,41.70456775,-86.23822026,39.9525839,-75.1652215,1
Indiana,41.70456775,-86.23822026,39.0997265,-94.5785667,1
Indiana,41.70456775,-86.23822026,39.0997265,-94.5785667,1
Ohio St.,40.0141905,-83.0309143,33.7489954,-84.3879824,0
Ohio St.,40.0141905,-83.0309143,38.2526647,-85.7584557,0
Ohio St.,40.0141905,-83.0309143,39.0997265,-94.5785667,0
Ohio St.,40.0141905,-83.0309143,37.6879241,-122.4702079,1
Ohio St.,40.0141905,-83.0309143,42.0450722,-87.6876969,0
Oregon,44.0445359,-123.0717345,42.0450722,-87.6876969,1
Indiana St.,39.4703727,-87.40819676,40.7607793,-111.8910474,0
,,,,,
